inventory_snapshot_id,snapshot_date,store_id,product_id,supplier_id,on_hand_qty,reserved_qty,available_qty,units_sold_30d,avg_daily_sales,lead_time_days,supplier_reliability,days_of_supply
INV00000001,2025-12-31,S001,P00001,SUP0043,2,1,1,6,0.2,2,0.829,5.0
INV00000002,2025-12-31,S001,P00002,SUP0022,2,2,0,2,0.0667,16,0.819,0.0
INV00000003,2025-12-31,S001,P00003,SUP0023,2,2,0,4,0.1333,25,0.938,0.0
INV00000004,2025-12-31,S001,P00004,SUP0018,7,5,2,6,0.2,17,0.888,10.0
INV00000005,2025-12-31,S001,P00005,SUP0016,8,1,7,7,0.2333,29,0.922,30.0
INV00000006,2025-12-31,S001,P00006,SUP0034,7,3,4,8,0.2667,6,0.907,15.0
INV00000007,2025-12-31,S001,P00007,SUP0014,11,2,9,8,0.2667,6,0.872,33.75
INV00000008,2025-12-31,S001,P00008,SUP0017,3,1,2,4,0.1333,4,0.858,15.0
INV00000009,2025-12-31,S001,P00009,SUP0015,3,3,0,4,0.1333,5,0.991,0.0
INV00000010,2025-12-31,S001,P00010,SUP0013,9,3,6,8,0.2667,22,0.804,22.5
INV00000011,2025-12-31,S001,P00011,SUP0034,7,3,4,6,0.2,6,0.907,20.0
INV00000012,2025-12-31,S001,P00012,SUP0014,5,1,4,7,0.2333,6,0.872,17.15
INV00000013,2025-12-31,S001,P00013,SUP0029,3,0,3,7,0.2333,6,0.9,12.86
INV00000014,2025-12-31,S001,P00014,SUP0011,2,2,0,3,0.1,24,0.81,0.0
INV00000015,2025-12-31,S001,P00015,SUP0010,10,3,7,11,0.3667,30,0.95,19.09
INV00000016,2025-12-31,S001,P00016,SUP0020,1,0,1,2,0.0667,23,0.878,14.99
INV00000017,2025-12-31,S001,P00017,SUP0015,4,2,2,3,0.1,5,0.991,20.0
INV00000018,2025-12-31,S001,P00018,SUP0008,2,2,0,4,0.1333,14,0.883,0.0
INV00000019,2025-12-31,S001,P00019,SUP0003,4,0,4,4,0.1333,14,0.947,30.01
INV00000020,2025-12-31,S001,P00020,SUP0045,1,0,1,2,0.0667,7,0.847,14.99
INV00000021,2025-12-31,S001,P00021,SUP0049,4,1,3,3,0.1,16,0.829,30.0
INV00000022,2025-12-31,S001,P00022,SUP0026,6,6,0,7,0.2333,4,0.845,0.0
