order_id,customer_id,order_timestamp,channel,store_id,order_status,source_system
O0000000001,C0000003,2024-10-08 10:54:57,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000002,C0000003,2024-12-16 13:46:37,STORE,S029,COMPLETED,POS_MODERN
O0000000003,C0000003,2025-11-22 20:59:25,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000004,C0000005,2024-04-28 20:33:11,STORE,S014,COMPLETED,POS_LEGACY
O0000000005,C0000005,2024-05-04 16:57:41,STORE,S011,COMPLETED,POS_LEGACY
O0000000006,C0000005,2024-10-26 15:59:23,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000007,C0000005,2024-11-01 09:06:04,STORE,S007,COMPLETED,POS_LEGACY
O0000000008,C0000005,2025-02-14 09:45:18,STORE,S030,COMPLETED,POS_MODERN
O0000000009,C0000005,2025-04-30 14:00:24,MOBILE,,COMPLETED,MOBILE_APP
O0000000010,C0000005,2025-07-03 16:56:02,STORE,S024,COMPLETED,POS_MODERN
O0000000011,C0000005,2025-12-09 08:32:23,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000012,C0000006,2024-12-01 14:36:03,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000013,C0000006,2024-12-16 14:33:27,ECOMMERCE,,COMPLETED,ECOM_V1
O0000000014,C0000006,2025-03-04 18:16:12,STORE,S021,COMPLETED,POS_LEGACY
O0000000015,C0000006,2025-11-14 11:13:05,STORE,S013,COMPLETED,POS_LEGACY
O0000000016,C0000008,2024-05-08 08:57:52,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000017,C0000008,2024-08-08 14:52:10,STORE,S023,COMPLETED,POS_LEGACY
O0000000018,C0000008,2024-12-17 21:00:12,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000019,C0000008,2025-05-09 21:14:57,STORE,S030,COMPLETED,POS_MODERN
O0000000020,C0000009,2025-11-09 20:13:08,ECOMMERCE,,COMPLETED,ECOM_V1
O0000000021,C0000010,2025-01-18 08:12:59,ECOMMERCE,,COMPLETED,ECOM_V1
O0000000022,C0000010,2025-08-04 09:58:32,STORE,S011,COMPLETED,POS_MODERN
O0000000023,C0000013,2024-10-04 21:14:08,MOBILE,,COMPLETED,MOBILE_APP
O0000000024,C0000014,2025-05-01 14:13:43,STORE,S015,COMPLETED,POS_MODERN
O0000000025,C0000014,2025-05-03 16:41:01,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000026,C0000014,2025-05-26 13:25:40,MOBILE,,COMPLETED,MOBILE_APP
O0000000027,C0000014,2025-06-22 12:10:50,STORE,S024,COMPLETED,POS_MODERN
O0000000028,C0000014,2025-08-11 11:12:06,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000029,C0000014,2025-08-31 16:14:27,ECOMMERCE,,COMPLETED,ECOM_V1
O0000000030,C0000015,2025-05-14 15:30:53,MOBILE,,COMPLETED,MOBILE_APP
O0000000031,C0000015,2025-05-17 21:50:03,MOBILE,,COMPLETED,MOBILE_APP
O0000000032,C0000015,2025-07-01 08:47:35,ECOMMERCE,,COMPLETED,ECOM_V2
O0000000033,C0000015,2025-09-14 15:10:42,STORE,S030,COMPLETED,POS_MODERN
