product_id,supplier_id,primary_supplier_flag
P00001,SUP0043,True
P00002,SUP0022,True
P00003,SUP0023,True
P00004,SUP0018,True
P00005,SUP0016,True
P00006,SUP0034,True
P00007,SUP0014,True
P00008,SUP0017,True
P00009,SUP0015,True
P00010,SUP0013,True
P00011,SUP0034,True
P00012,SUP0014,True
P00013,SUP0029,True
P00014,SUP0011,True
P00015,SUP0010,True
P00016,SUP0020,True
P00017,SUP0015,True
P00018,SUP0008,True
P00019,SUP0003,True
P00020,SUP0045,True
P00021,SUP0049,True
P00022,SUP0026,True
P00023,SUP0049,True
P00024,SUP0015,True
P00025,SUP0040,True
P00026,SUP0008,True
P00027,SUP0021,True
P00028,SUP0019,True
P00029,SUP0035,True
P00030,SUP0010,True
P00031,SUP0012,True
P00032,SUP0015,True
P00033,SUP0038,True
P00034,SUP0046,True
P00035,SUP0025,True
P00036,SUP0044,True
P00037,SUP0033,True
P00038,SUP0028,True
P00039,SUP0016,True
P00040,SUP0024,True
P00041,SUP0029,True
P00042,SUP0022,True
P00043,SUP0035,True
P00044,SUP0044,True
P00045,SUP0046,True
P00046,SUP0009,True
P00047,SUP0045,True
P00048,SUP0008,True
P00049,SUP0006,True
P00050,SUP0046,True
P00051,SUP0003,True
P00052,SUP0005,True
P00053,SUP0047,True
P00054,SUP0011,True
P00055,SUP0048,True
P00056,SUP0002,True
P00057,SUP0009,True
P00058,SUP0007,True
P00059,SUP0042,True
P00060,SUP0009,True
P00061,SUP0029,True
P00062,SUP0019,True
P00063,SUP0027,True
P00064,SUP0008,True
P00065,SUP0028,True
P00066,SUP0004,True
P00067,SUP0032,True
P00068,SUP0006,True
P00069,SUP0032,True
P00070,SUP0048,True
P00071,SUP0036,True
P00072,SUP0031,True
P00073,SUP0042,True
P00074,SUP0011,True
P00075,SUP0001,True
P00076,SUP0030,True
P00077,SUP0008,True
P00078,SUP0044,True
P00079,SUP0045,True
P00080,SUP0027,True
P00081,SUP0019,True
P00082,SUP0022,True
P00083,SUP0036,True
P00084,SUP0035,True
P00085,SUP0028,True
P00086,SUP0004,True
P00087,SUP0002,True
P00088,SUP0037,True
P00089,SUP0013,True
P00090,SUP0001,True
P00091,SUP0034,True
P00092,SUP0050,True
P00093,SUP0021,True
P00094,SUP0008,True
P00095,SUP0002,True
P00096,SUP0026,True
P00097,SUP0049,True
P00098,SUP0042,True
P00099,SUP0021,True
P00100,SUP0008,True
P00101,SUP0011,True
P00102,SUP0044,True
P00103,SUP0038,True
P00104,SUP0017,True
P00105,SUP0047,True
P00106,SUP0041,True
P00107,SUP0018,True
P00108,SUP0032,True
P00109,SUP0039,True
P00110,SUP0014,True
P00111,SUP0033,True
P00112,SUP0018,True
P00113,SUP0036,True
P00114,SUP0042,True
P00115,SUP0020,True
P00116,SUP0034,True
P00117,SUP0010,True
P00118,SUP0043,True
P00119,SUP0029,True
P00120,SUP0012,True
P00121,SUP0047,True
P00122,SUP0015,True
P00123,SUP0030,True
P00124,SUP0047,True
P00125,SUP0032,True
P00126,SUP0029,True
P00127,SUP0003,True
P00128,SUP0017,True
P00129,SUP0034,True
P00130,SUP0032,True
P00131,SUP0023,True
P00132,SUP0046,True
P00133,SUP0045,True
P00134,SUP0014,True
P00135,SUP0035,True
P00136,SUP0036,True
P00137,SUP0021,True
