return_id,original_order_id,original_order_item_id,customer_id,return_timestamp,returned_quantity,refund_amount,return_type,return_reason
R0000000001,O0000000119,OI000000000348,C0000040,2025-06-02 01:21:49,1,20.87,FULL_ORDER_REFUND,SIZE_ISSUE
R0000000002,O0000000213,OI000000000631,C0000074,2025-03-21 20:05:06,1,10.0,FULL_ORDER_REFUND,DAMAGED
R0000000003,O0000000213,OI000000000632,C0000074,2025-04-24 03:33:36,1,10.81,FULL_ORDER_REFUND,DAMAGED
R0000000004,O0000000213,OI000000000633,C0000074,2025-04-02 07:10:58,3,126.69,FULL_ORDER_REFUND,SIZE_ISSUE
R0000000005,O0000000221,OI000000000657,C0000075,2025-07-03 19:21:17,1,21.01,FULL_ORDER_REFUND,DEFECTIVE
R0000000006,O0000000303,OI000000000891,C0000091,2025-04-03 02:00:30,3,313.82,FULL_ORDER_REFUND,NOT_AS_DESCRIBED
R0000000007,O0000000303,OI000000000892,C0000091,2025-04-13 16:26:40,1,19.75,FULL_ORDER_REFUND,NOT_AS_DESCRIBED
R0000000008,O0000000327,OI000000000953,C0000096,2025-08-26 22:36:14,1,80.86,FULL_ORDER_REFUND,DAMAGED
R0000000009,O0000000327,OI000000000954,C0000096,2025-08-25 23:06:15,1,26.37,FULL_ORDER_REFUND,UNWANTED
R0000000010,O0000000394,OI000000001163,C0000119,2025-05-28 18:49:13,2,15.77,FULL_ORDER_REFUND,SIZE_ISSUE
R0000000011,O0000000394,OI000000001164,C0000119,2025-06-11 22:42:54,1,18.77,FULL_ORDER_REFUND,DEFECTIVE
R0000000012,O0000000533,OI000000001581,C0000162,2025-12-25 17:23:09,1,24.55,FULL_ORDER_REFUND,WRONG_ITEM
R0000000013,O0000000533,OI000000001582,C0000162,2025-11-28 18:48:08,2,5.98,FULL_ORDER_REFUND,SIZE_ISSUE
R0000000014,O0000000533,OI000000001583,C0000162,2025-12-26 01:08:09,1,58.68,FULL_ORDER_REFUND,NOT_AS_DESCRIBED
R0000000015,O0000000533,OI000000001584,C0000162,2025-12-01 10:18:07,1,179.2,FULL_ORDER_REFUND,UNWANTED
R0000000016,O0000000533,OI000000001585,C0000162,2025-11-22 19:16:47,1,198.86,FULL_ORDER_REFUND,DEFECTIVE
R0000000017,O0000000533,OI000000001586,C0000162,2025-12-30 10:52:02,1,42.43,FULL_ORDER_REFUND,SIZE_ISSUE
R0000000018,O0000000538,OI000000001602,C0000163,2025-08-24 13:27:36,2,51.22,FULL_ORDER_REFUND,SIZE_ISSUE
R0000000019,O0000000546,OI000000001622,C0000165,2025-12-29 08:55:51,2,173.16,FULL_ORDER_REFUND,DAMAGED
R0000000020,O0000000597,OI000000001765,C0000176,2024-12-25 23:08:59,1,29.2,FULL_ORDER_REFUND,DEFECTIVE
R0000000021,O0000000597,OI000000001766,C0000176,2025-01-01 04:02:09,5,161.2,FULL_ORDER_REFUND,DEFECTIVE
R0000000022,O0000000609,OI000000001800,C0000179,2024-07-07 06:38:46,1,31.23,FULL_ORDER_REFUND,WRONG_ITEM
R0000000023,O0000000609,OI000000001801,C0000179,2024-07-22 14:46:38,1,38.75,FULL_ORDER_REFUND,WRONG_ITEM
R0000000024,O0000000670,OI000000001964,C0000201,2025-09-17 05:28:29,1,4.23,FULL_ORDER_REFUND,DEFECTIVE
R0000000025,O0000000670,OI000000001965,C0000201,2025-08-30 22:17:06,2,21.62,FULL_ORDER_REFUND,WRONG_ITEM
R0000000026,O0000000670,OI000000001966,C0000201,2025-10-21 14:09:57,2,147.54,FULL_ORDER_REFUND,DEFECTIVE
R0000000027,O0000000670,OI000000001967,C0000201,2025-09-11 11:54:29,2,196.98,FULL_ORDER_REFUND,DAMAGED
R0000000028,O0000000823,OI000000002421,C0000240,2024-07-17 17:58:50,2,14.63,FULL_ORDER_REFUND,UNWANTED
R0000000029,O0000000823,OI000000002422,C0000240,2024-08-11 03:00:56,3,838.1,FULL_ORDER_REFUND,DAMAGED
R0000000030,O0000000904,OI000000002654,C0000256,2025-08-15 07:30:15,1,138.73,FULL_ORDER_REFUND,DAMAGED
R0000000031,O0000000969,OI000000002845,C0000273,2024-04-13 06:33:42,1,25.94,FULL_ORDER_REFUND,WRONG_ITEM
R0000000032,O0000000969,OI000000002846,C0000273,2024-04-18 19:48:17,4,418.68,FULL_ORDER_REFUND,WRONG_ITEM
R0000000033,O0000000969,OI000000002847,C0000273,2024-03-21 18:03:42,1,737.35,FULL_ORDER_REFUND,DAMAGED
R0000000034,O0000000969,OI000000002848,C0000273,2024-03-15 09:10:34,1,46.08,FULL_ORDER_REFUND,DEFECTIVE
R0000000035,O0000000969,OI000000002849,C0000273,2024-03-18 20:00:18,1,3.08,FULL_ORDER_REFUND,WRONG_ITEM
R0000000036,O0000001014,OI000000002984,C0000276,2025-05-28 17:17:28,1,33.91,FULL_ORDER_REFUND,NOT_AS_DESCRIBED
R0000000037,O0000001014,OI000000002985,C0000276,2025-05-10 02:43:07,1,34.41,FULL_ORDER_REFUND,UNWANTED
R0000000038,O0000001014,OI000000002986,C0000276,2025-05-27 05:24:35,3,49.41,FULL_ORDER_REFUND,UNWANTED
R0000000039,O0000001014,OI000000002987,C0000276,2025-04-19 02:50:39,5,304.0,FULL_ORDER_REFUND,SIZE_ISSUE
R0000000040,O0000001014,OI000000002988,C0000276,2025-04-18 01:01:09,2,18.61,FULL_ORDER_REFUND,DEFECTIVE
R0000000041,O0000001014,OI000000002989,C0000276,2025-05-25 04:35:42,3,109.11,FULL_ORDER_REFUND,DAMAGED
R0000000042,O0000001075,OI000000003191,C0000291,2025-02-04 14:43:10,1,23.19,FULL_ORDER_REFUND,DAMAGED
R0000000043,O0000001075,OI000000003192,C0000291,2025-01-24 23:35:20,1,64.54,FULL_ORDER_REFUND,UNWANTED
R0000000044,O0000001075,OI000000003193,C0000291,2025-02-14 16:46:41,1,43.76,FULL_ORDER_REFUND,WRONG_ITEM
R0000000045,O0000001075,OI000000003194,C0000291,2025-02-11 07:41:38,1,111.83,FULL_ORDER_REFUND,WRONG_ITEM
R0000000046,O0000001130,OI000000003365,C0000308,2025-08-31 04:48:59,1,582.12,FULL_ORDER_REFUND,UNWANTED
R0000000047,O0000001199,OI000000003609,C0000329,2025-07-15 12:12:52,1,15.23,FULL_ORDER_REFUND,NOT_AS_DESCRIBED
R0000000048,O0000001199,OI000000003610,C0000329,2025-07-12 11:35:12,4,15.8,FULL_ORDER_REFUND,DAMAGED
R0000000049,O0000001199,OI000000003611,C0000329,2025-06-29 10:10:15,1,98.49,FULL_ORDER_REFUND,DAMAGED
R0000000050,O0000001266,OI000000003832,C0000344,2025-12-27 18:23:41,2,67.48,FULL_ORDER_REFUND,NOT_AS_DESCRIBED
R0000000051,O0000001266,OI000000003833,C0000344,2025-12-28 14:37:15,1,68.7,FULL_ORDER_REFUND,SIZE_ISSUE
R0000000052,O0000001266,OI000000003834,C0000344,2025-12-18 06:35:09,2,10.26,FULL_ORDER_REFUND,WRONG_ITEM
R0000000053,O0000001266,OI000000003835,C0000344,2025-12-18 23:47:46,1,185.96,FULL_ORDER_REFUND,UNWANTED
R0000000054,O0000001312,OI000000003981,C0000360,2024-10-10 12:41:44,1,47.65,FULL_ORDER_REFUND,WRONG_ITEM
R0000000055,O0000001312,OI000000003982,C0000360,2024-08-31 19:30:56,3,91.56,FULL_ORDER_REFUND,DAMAGED
R0000000056,O0000001312,OI000000003983,C0000360,2024-10-16 18:02:17,4,84.56,FULL_ORDER_REFUND,DAMAGED
R0000000057,O0000001312,OI000000003984,C0000360,2024-10-19 13:48:21,1,7.86,FULL_ORDER_REFUND,SIZE_ISSUE
R0000000058,O0000001347,OI000000004090,C0000366,2024-11-13 01:58:30,1,124.83,FULL_ORDER_REFUND,WRONG_ITEM
R0000000059,O0000001347,OI000000004091,C0000366,2024-10-27 19:20:40,1,3.14,FULL_ORDER_REFUND,DAMAGED
R0000000060,O0000001376,OI000000004170,C0000373,2024-04-20 07:20:21,1,29.03,FULL_ORDER_REFUND,DAMAGED
