stock_count_id,count_date,inventory_snapshot_id,store_id,product_id,system_qty,physical_qty,variance_units,variance_pct
SC00000001,2025-12-31,INV00013326,S027,P00326,3,3,0,0.0
SC00000002,2025-12-31,INV00013030,S027,P00030,7,7,0,0.0
SC00000003,2025-12-31,INV00014301,S029,P00301,7,7,0,0.0
SC00000004,2025-12-31,INV00009524,S020,P00024,6,6,0,0.0
SC00000005,2025-12-31,INV00005807,S012,P00307,6,6,0,0.0
SC00000006,2025-12-31,INV00000512,S002,P00012,1,1,0,0.0
SC00000007,2025-12-31,INV00008953,S018,P00453,9,9,0,0.0
SC00000008,2025-12-31,INV00005032,S011,P00032,7,7,0,0.0
SC00000009,2025-12-31,INV00013292,S027,P00292,1,1,0,0.0
SC00000010,2025-12-31,INV00006808,S014,P00308,18,18,0,0.0
SC00000011,2025-12-31,INV00001499,S003,P00499,1,1,0,0.0
SC00000012,2025-12-31,INV00012748,S026,P00248,3,3,0,0.0
SC00000013,2025-12-31,INV00010721,S022,P00221,2,2,0,0.0
SC00000014,2025-12-31,INV00002909,S006,P00409,1,1,0,0.0
SC00000015,2025-12-31,INV00005883,S012,P00383,4,4,0,0.0
SC00000016,2025-12-31,INV00014522,S030,P00022,4,4,0,0.0
SC00000017,2025-12-31,INV00008356,S017,P00356,4,4,0,0.0
SC00000018,2025-12-31,INV00005563,S012,P00063,5,5,0,0.0
SC00000019,2025-12-31,INV00010204,S021,P00204,6,6,0,0.0
SC00000020,2025-12-31,INV00004442,S009,P00442,13,13,0,0.0
SC00000021,2025-12-31,INV00006377,S013,P00377,3,3,0,0.0
SC00000022,2025-12-31,INV00006405,S013,P00405,7,7,0,0.0
SC00000023,2025-12-31,INV00003937,S008,P00437,5,5,0,0.0
SC00000024,2025-12-31,INV00000395,S001,P00395,1,1,0,0.0
SC00000025,2025-12-31,INV00000101,S001,P00101,1,1,0,0.0
SC00000026,2025-12-31,INV00008090,S017,P00090,29,29,0,0.0
SC00000027,2025-12-31,INV00000386,S001,P00386,6,6,0,0.0
SC00000028,2025-12-31,INV00000559,S002,P00059,8,8,0,0.0
SC00000029,2025-12-31,INV00003415,S007,P00415,4,4,0,0.0
SC00000030,2025-12-31,INV00002915,S006,P00415,5,5,0,0.0
SC00000031,2025-12-31,INV00000996,S002,P00496,2,2,0,0.0
SC00000032,2025-12-31,INV00014112,S029,P00112,1,1,0,0.0
SC00000033,2025-12-31,INV00008640,S018,P00140,20,21,1,0.05
SC00000034,2025-12-31,INV00009799,S020,P00299,12,12,0,0.0
SC00000035,2025-12-31,INV00001987,S004,P00487,4,4,0,0.0
SC00000036,2025-12-31,INV00010920,S022,P00420,2,2,0,0.0
SC00000037,2025-12-31,INV00007954,S016,P00454,5,5,0,0.0
SC00000038,2025-12-31,INV00013400,S027,P00400,7,7,0,0.0
SC00000039,2025-12-31,INV00008028,S017,P00028,4,4,0,0.0
SC00000040,2025-12-31,INV00001522,S004,P00022,12,12,0,0.0
SC00000041,2025-12-31,INV00005574,S012,P00074,6,6,0,0.0
SC00000042,2025-12-31,INV00012824,S026,P00324,4,4,0,0.0
SC00000043,2025-12-31,INV00000085,S001,P00085,6,6,0,0.0
SC00000044,2025-12-31,INV00007043,S015,P00043,4,4,0,0.0
SC00000045,2025-12-31,INV00011230,S023,P00230,15,15,0,0.0
SC00000046,2025-12-31,INV00000926,S002,P00426,1,1,0,0.0
