source_record_id,return_item_id,return_id,order_item_id,product_id,quantity,refund_amount,return_reason,created_at,updated_at
SRC_RETURN_ITEM_B001_000000001,RI0000000001,R000019348,OI0000000011,P000194,1,988.96,WRONG_ITEM,2025-02-06 12:31:25,2025-02-06 12:31:25
SRC_RETURN_ITEM_B001_000000002,RI0000000002,R000019348,OI0000000009,P000209,2,1318.56,SIZE_FIT,2025-02-06 12:31:25,2025-02-06 12:31:25
SRC_RETURN_ITEM_B001_000000003,RI0000000003,R000019348,OI0000000008,P000308,1,66.90,WRONG_ITEM,2025-02-06 12:31:25,2025-02-06 12:31:25
SRC_RETURN_ITEM_B001_000000004,RI0000000004,R000016556,OI0000000029,P000429,1,1143.05,SIZE_FIT,2024-07-11 10:31:36,2024-07-11 10:31:36
SRC_RETURN_ITEM_B001_000000005,RI0000000005,R000016556,OI0000000030,P000452,1,631.96,UNWANTED,2024-07-11 10:31:36,2024-07-11 10:31:36
SRC_RETURN_ITEM_B001_000000006,RI0000000006,R000017891,OI0000000031,P000048,1,220.64,WRONG_ITEM,2024-06-21 12:30:57,2024-06-21 12:30:57
SRC_RETURN_ITEM_B001_000000007,RI0000000007,R000017891,OI0000000034,P000350,1,776.51,WRONG_ITEM,2024-06-21 12:30:57,2024-06-21 12:30:57
SRC_RETURN_ITEM_B001_000000008,RI0000000008,R000010059,OI0000000037,P000199,2,1063.92,SIZE_FIT,2024-07-31 19:08:31,2024-07-31 19:08:31
SRC_RETURN_ITEM_B001_000000009,RI0000000009,R000010059,OI0000000039,P000144,1,836.86,UNWANTED,2024-07-31 19:08:31,2024-07-31 19:08:31
SRC_RETURN_ITEM_B001_000000010,RI0000000010,R000018451,OI0000000048,P000082,1,226.42,UNWANTED,2025-08-06 08:08:07,2025-08-06 08:08:07
SRC_RETURN_ITEM_B001_000000011,RI0000000011,R000018451,OI0000000049,P000255,1,783.18,DAMAGED,2025-08-06 08:08:07,2025-08-06 08:08:07
SRC_RETURN_ITEM_B001_000000012,RI0000000012,R000008102,OI0000000064,P000162,1,130.42,LATE_DELIVERY,2024-10-29 10:33:51,2024-10-29 10:33:51
SRC_RETURN_ITEM_B001_000000013,RI0000000013,R000016201,OI0000000070,P000495,2,1792.40,SIZE_FIT,2025-01-07 13:26:35,2025-01-07 13:26:35
SRC_RETURN_ITEM_B001_000000014,RI0000000014,R000016201,OI0000000069,P000246,1,41.78,SIZE_FIT,2025-01-07 13:26:35,2025-01-07 13:26:35
SRC_RETURN_ITEM_B001_000000015,RI0000000015,R000017220,OI0000000091,P000051,1,396.41,SIZE_FIT,2024-04-26 22:20:52,2024-04-26 22:20:52
SRC_RETURN_ITEM_B001_000000016,RI0000000016,R000017220,OI0000000087,P000046,1,440.47,LATE_DELIVERY,2024-04-26 22:20:52,2024-04-26 22:20:52
SRC_RETURN_ITEM_B001_000000017,RI0000000017,R000010559,OI0000000094,P000322,1,19.58,DAMAGED,2026-03-09 12:46:53,2026-03-09 12:46:53
SRC_RETURN_ITEM_B001_000000018,RI0000000018,R000017200,OI0000000107,P000360,1,784.12,UNWANTED,2024-03-14 07:22:35,2024-03-14 07:22:35
SRC_RETURN_ITEM_B001_000000019,RI0000000019,R000017200,OI0000000106,P000072,1,824.66,WRONG_ITEM,2024-03-14 07:22:35,2024-03-14 07:22:35
SRC_RETURN_ITEM_B001_000000020,RI0000000020,R000001995,OI0000000114,P000016,2,870.65,LATE_DELIVERY,2026-07-20 11:35:40,2026-07-20 11:35:40
SRC_RETURN_ITEM_B001_000000021,RI0000000021,R000001995,OI0000000112,P000220,1,788.50,DEFECTIVE,2026-07-20 11:35:40,2026-07-20 11:35:40
