source_record_id,category_id,parent_category_id,category_name,category_code,is_active,created_at,updated_at
SRC_CATEGORY_B002_000000001,CAT0025,CAT0006,Category 25 Updated,CAT-0025,Y,2023-01-01 00:00:00,2026-09-01 00:00:00
SRC_CATEGORY_B002_000000002,CAT0010,CAT0006,Category 10 Updated,CAT-0010,Y,2023-01-01 00:00:00,2026-09-01 00:00:00
SRC_CATEGORY_B002_000000003,CAT0007,CAT0003,Category 7 Updated,CAT-0007,Y,2023-01-01 00:00:00,2026-09-01 00:00:00
SRC_CATEGORY_B002_000000004,CAT0030,CAT0004,Category 30 Updated,CAT-0030,Y,2023-01-01 00:00:00,2026-09-01 00:00:00
SRC_CATEGORY_B002_000000005,CAT0002,,Home Updated,CAT-0002,Y,2023-01-01 00:00:00,2026-09-01 00:00:00
SRC_CATEGORY_B002_000000006,CAT0031,CAT0003,New Category 31,CAT-0031,Y,2026-09-01 00:00:00,2026-09-01 00:00:00
SRC_CATEGORY_B002_000000007,CAT0032,CAT0001,New Category 32,CAT-0032,Y,2026-09-01 00:00:00,2026-09-01 00:00:00
SRC_CATEGORY_B002_000000008,CAT0033,CAT0003,New Category 33,CAT-0033,Y,2026-09-01 00:00:00,2026-09-01 00:00:00
SRC_CATEGORY_B002_000000009,CAT0034,CAT0005,New Category 34,CAT-0034,Y,2026-09-01 00:00:00,2026-09-01 00:00:00
SRC_CATEGORY_B002_000000010,CAT0035,CAT0006,New Category 35,CAT-0035,Y,2026-09-01 00:00:00,2026-09-01 00:00:00
DEF_CATEGORY_CYCLE_B002_001,CAT_BAD_B002_1,CAT_BAD_B002_2,Category 25 Updated,CAT-0025,Y,2023-01-01 00:00:00,2026-09-01 00:00:00
DEF_CATEGORY_CYCLE_B002_002,CAT_BAD_B002_2,CAT_BAD_B002_1,Category 10 Updated,CAT-0010,Y,2023-01-01 00:00:00,2026-09-01 00:00:00
