source_record_id,order_id,customer_id,billing_address_id,shipping_address_id,order_timestamp,channel,order_status,currency_code,subtotal_amount,discount_amount,tax_amount,shipping_amount,order_total_amount,created_at,updated_at
SRC_ORDER_B002_000000001,O000120820,C0016633,A00021279,A00021279,2026-09-01 20:43:24,ECOMMERCE,COMPLETED,GBP,214.68,21.47,38.64,0.00,231.85,2026-09-01 20:43:24,2026-09-02 06:29:32
SRC_ORDER_B002_000000002,O000120821,C0040040,A00051239,A00051239,2026-09-03 01:00:41,STORE,COMPLETED,GBP,2341.14,85.87,451.06,0.00,2706.33,2026-09-03 01:00:41,2026-09-03 16:12:38
SRC_ORDER_B002_000000003,O000120822,C0032023,A00040996,A00040996,2026-09-03 07:35:44,STORE,COMPLETED,GBP,4640.55,0.00,928.12,0.00,5568.67,2026-09-03 07:35:44,2026-09-03 22:23:37
SRC_ORDER_B002_000000004,O000120823,C0010722,A00013763,A00013763,2026-09-01 20:33:17,ECOMMERCE,COMPLETED,GBP,1884.72,162.94,344.36,0.00,2066.14,2026-09-01 20:33:17,2026-09-02 16:41:54
SRC_ORDER_B002_000000005,O000120824,C0026549,A00033938,A00033938,2026-09-02 22:31:06,STORE,COMPLETED,GBP,116.20,0.00,23.24,0.00,139.44,2026-09-02 22:31:06,2026-09-03 10:30:10
SRC_ORDER_B002_000000006,O000120825,C0045049,A00057674,A00057674,2026-09-03 04:12:03,STORE,COMPLETED,GBP,1409.12,0.00,281.83,0.00,1690.95,2026-09-03 04:12:03,2026-09-03 18:01:24
SRC_ORDER_B002_000000007,O000120826,C0016052,A00020544,A00020544,2026-09-01 09:00:33,ECOMMERCE,COMPLETED,GBP,1471.52,0.00,294.30,0.00,1765.82,2026-09-01 09:00:33,2026-09-01 22:11:24
SRC_ORDER_B002_000000008,O000120827,C0015272,A00019561,A00019562,2026-09-01 16:39:02,STORE,COMPLETED,GBP,3005.50,297.60,541.58,0.00,3249.48,2026-09-01 16:39:02,2026-09-02 09:37:46
SRC_ORDER_B002_000000009,O000120828,C0028392,A00036321,A00036321,2026-09-03 09:24:55,ECOMMERCE,COMPLETED,GBP,4265.09,146.44,823.73,0.00,4942.38,2026-09-03 09:24:55,2026-09-03 21:12:12
SRC_ORDER_B002_000000010,O000120829,C0020822,A00026648,A00026648,2026-09-02 04:08:44,MOBILE,COMPLETED,GBP,5943.49,403.93,1107.91,0.00,6647.47,2026-09-02 04:08:44,2026-09-02 23:50:19
SRC_ORDER_B002_000000011,O000120830,C0022355,A00028610,A00028610,2026-09-02 17:46:22,STORE,COMPLETED,GBP,217.76,0.00,43.55,0.00,261.31,2026-09-02 17:46:22,2026-09-02 23:47:34
SRC_ORDER_B002_000000012,O000120831,C0044953,A00057547,A00057547,2026-09-03 11:42:35,STORE,COMPLETED,GBP,1462.50,44.21,283.65,0.00,1701.94,2026-09-03 11:42:35,2026-09-03 18:13:05
SRC_ORDER_B002_000000013,O000120832,C0018122,A00023174,A00023174,2026-09-03 04:56:01,ECOMMERCE,COMPLETED,GBP,2830.84,0.00,566.17,0.00,3397.01,2026-09-03 04:56:01,2026-09-04 03:56:42
SRC_ORDER_B002_000000014,O000120833,C0017847,A00022831,A00022831,2026-09-03 20:05:37,STORE,COMPLETED,GBP,1894.10,0.00,378.82,0.00,2272.92,2026-09-03 20:05:37,2026-09-04 19:20:23
SRC_ORDER_B002_000000015,O000120834,C0037016,A00047376,A00047376,2026-09-03 06:43:18,ECOMMERCE,COMPLETED,GBP,454.18,0.00,90.84,0.00,545.02,2026-09-03 06:43:18,2026-09-03 09:58:24
SRC_ORDER_B002_000000016,O000120835,C0010163,A00013043,A00013043,2026-09-02 18:14:57,STORE,COMPLETED,GBP,1142.49,0.90,228.32,0.00,1369.91,2026-09-02 18:14:57,2026-09-03 01:56:31
SRC_ORDER_B002_000000017,O000120836,C0033435,A00042795,A00042795,2026-09-02 05:00:33,ECOMMERCE,COMPLETED,GBP,1983.60,0.00,396.72,0.00,2380.32,2026-09-02 05:00:33,2026-09-03 02:40:34
SRC_ORDER_B002_000000018,O000120837,C0042376,A00054233,A00054233,2026-09-02 01:41:12,ECOMMERCE,COMPLETED,GBP,2755.64,0.00,551.13,0.00,3306.77,2026-09-02 01:41:12,2026-09-02 14:07:59
SRC_ORDER_B002_000000019,O000120838,C0026201,A00033506,A00033506,2026-09-01 21:39:16,STORE,COMPLETED,GBP,1719.26,0.00,343.85,0.00,2063.11,2026-09-01 21:39:16,2026-09-01 23:15:29
SRC_ORDER_B002_000000020,O000120839,C0036122,A00046233,A00046233,2026-09-01 12:12:02,STORE,COMPLETED,GBP,1524.80,77.46,289.47,0.00,1736.81,2026-09-01 12:12:02,2026-09-02 11:14:15
SRC_ORDER_B002_000000021,O000120840,C0042788,A00054763,A00054763,2026-09-03 11:37:12,MOBILE,COMPLETED,GBP,548.39,0.00,109.68,0.00,658.07,2026-09-03 11:37:12,2026-09-03 22:57:42
SRC_ORDER_B002_000000022,O000120841,C0037105,A00047490,A00047490,2026-09-02 20:32:15,ECOMMERCE,COMPLETED,GBP,3270.21,139.06,626.23,0.00,3757.38,2026-09-02 20:32:15,2026-09-03 08:31:34
SRC_ORDER_B002_000000023,O000120842,C0034482,A00044133,A00044133,2026-09-02 00:48:37,ECOMMERCE,COMPLETED,GBP,461.61,23.08,87.71,0.00,526.24,2026-09-02 00:48:37,2026-09-02 21:54:39
SRC_ORDER_B002_000000024,O000120843,C0024262,A00031042,A00031042,2026-09-02 04:53:56,ECOMMERCE,COMPLETED,GBP,1287.72,63.97,244.75,0.00,1468.50,2026-09-02 04:53:56,2026-09-03 02:09:39
SRC_ORDER_B002_000000025,O000120844,C0018962,A00024262,A00024262,2026-09-01 09:09:44,ECOMMERCE,COMPLETED,GBP,3230.51,14.00,643.30,0.00,3859.81,2026-09-01 09:09:44,2026-09-01 22:57:05
SRC_ORDER_B002_000000026,O000120845,C0014883,A00019069,A00019069,2026-09-02 04:11:41,ECOMMERCE,COMPLETED,GBP,1294.78,2.45,258.46,0.00,1550.79,2026-09-02 04:11:41,2026-09-02 06:37:16
SRC_ORDER_B002_000000027,O000120846,C0019490,A00024943,A00024943,2026-09-01 22:31:11,ECOMMERCE,COMPLETED,GBP,3058.97,30.20,605.75,0.00,3634.52,2026-09-01 22:31:11,2026-09-02 12:34:59
SRC_ORDER_B002_000000028,O000120847,C0010878,A00013959,A00013959,2026-09-01 18:44:09,ECOMMERCE,COMPLETED,GBP,3161.33,0.00,632.27,0.00,3793.60,2026-09-01 18:44:09,2026-09-02 13:41:03
SRC_ORDER_B002_000000029,O000120848,C0016237,A00020771,A00020771,2026-09-02 12:24:12,MOBILE,COMPLETED,GBP,1787.91,86.80,340.23,0.00,2041.34,2026-09-02 12:24:12,2026-09-03 01:40:20
SRC_ORDER_B002_000000030,O000120849,C0001888,A00002423,A00002423,2026-09-01 11:25:03,STORE,COMPLETED,GBP,1869.16,0.00,373.83,0.00,2242.99,2026-09-01 11:25:03,2026-09-02 03:50:16
SRC_ORDER_B002_000000031,O000120850,C0021171,A00027091,A00027091,2026-09-03 15:31:47,MOBILE,COMPLETED,GBP,1600.98,0.00,320.20,0.00,1921.18,2026-09-03 15:31:47,2026-09-04 06:38:58
SRC_ORDER_B002_000000032,O000120851,C0010094,A00012954,A00012954,2026-09-02 17:51:40,STORE,COMPLETED,GBP,1518.72,151.87,273.37,0.00,1640.22,2026-09-02 17:51:40,2026-09-02 21:59:26
SRC_ORDER_B002_000000033,O000120852,C0032659,A00041805,A00041805,2026-09-03 17:12:17,STORE,COMPLETED,GBP,4264.91,38.73,845.24,0.00,5071.42,2026-09-03 17:12:17,2026-09-04 01:29:07
SRC_ORDER_B002_000000034,O000120853,C0047520,A00060840,A00060840,2026-09-02 08:11:16,STORE,COMPLETED,GBP,5514.26,358.55,1031.14,0.00,6186.85,2026-09-02 08:11:16,2026-09-02 19:04:03
SRC_ORDER_B002_000000035,O000120854,C0019445,A00024885,A00024885,2026-09-02 20:25:42,STORE,COMPLETED,GBP,4190.72,44.21,829.30,0.00,4975.81,2026-09-02 20:25:42,2026-09-02 21:38:20
SRC_ORDER_B002_000000036,O000120855,C0003770,A00004859,A00004859,2026-09-01 06:40:40,ECOMMERCE,COMPLETED,GBP,5941.38,788.22,1030.63,0.00,6183.79,2026-09-01 06:40:40,2026-09-01 13:27:43
SRC_ORDER_B002_000000037,O000120856,C0048377,A00061943,A00061943,2026-09-03 08:26:32,ECOMMERCE,COMPLETED,GBP,2790.34,42.52,549.57,0.00,3297.39,2026-09-03 08:26:32,2026-09-03 09:29:16
SRC_ORDER_B002_000000038,O000120857,C0045919,A00058781,A00058781,2026-09-03 13:56:10,MOBILE,COMPLETED,GBP,2996.34,299.63,539.34,0.00,3236.05,2026-09-03 13:56:10,2026-09-03 14:39:40
SRC_ORDER_B002_000000039,O000120858,C0022629,A00028957,A00028957,2026-09-03 02:55:00,STORE,COMPLETED,GBP,329.38,0.00,65.88,0.00,395.26,2026-09-03 02:55:00,2026-09-03 23:35:24
SRC_ORDER_B002_000000040,O000120859,C0016254,A00020796,A00020796,2026-09-02 19:21:02,STORE,COMPLETED,GBP,4373.45,539.58,766.78,0.00,4600.65,2026-09-02 19:21:02,2026-09-03 09:51:14
SRC_ORDER_B002_000000041,O000120860,C0047654,A00061021,A00061021,2026-09-03 13:00:55,STORE,COMPLETED,GBP,4950.84,124.95,965.18,0.00,5791.07,2026-09-03 13:00:55,2026-09-04 11:26:26
SRC_ORDER_B002_000000042,O000120861,C0018624,A00023820,A00023820,2026-09-01 12:33:21,ECOMMERCE,COMPLETED,GBP,2488.38,84.90,480.70,0.00,2884.18,2026-09-01 12:33:21,2026-09-01 14:43:23
SRC_ORDER_B002_000000043,O000120862,C0042750,A00054716,A00054716,2026-09-02 22:21:30,STORE,COMPLETED,GBP,2804.14,96.45,541.54,0.00,3249.23,2026-09-02 22:21:30,2026-09-03 01:55:43
SRC_ORDER_B002_000000044,O000120863,C0008406,A00010835,A00010835,2026-09-01 09:42:39,STORE,COMPLETED,GBP,2735.68,40.02,539.13,0.00,3234.79,2026-09-01 09:42:39,2026-09-02 06:19:32
SRC_ORDER_B002_000000045,O000120864,C0019746,A00025274,A00025274,2026-09-03 00:32:14,MOBILE,COMPLETED,GBP,2674.42,103.21,514.24,0.00,3085.45,2026-09-03 00:32:14,2026-09-03 07:23:41
SRC_ORDER_B002_000000046,O000120865,C0011705,A00015009,A00015009,2026-09-01 16:22:41,STORE,COMPLETED,GBP,3835.02,152.86,736.44,0.00,4418.60,2026-09-01 16:22:41,2026-09-02 05:23:00
SRC_ORDER_B002_000000047,O000120866,C0007080,A00009149,A00009149,2026-09-02 17:30:29,ECOMMERCE,COMPLETED,GBP,4341.17,0.00,868.24,0.00,5209.41,2026-09-02 17:30:29,2026-09-03 05:33:07
SRC_ORDER_B002_000000048,O000120867,C0014018,A00017960,A00017960,2026-09-01 13:51:31,ECOMMERCE,COMPLETED,GBP,6073.30,545.34,1105.60,0.00,6633.56,2026-09-01 13:51:31,2026-09-01 19:45:09
SRC_ORDER_B002_000000049,O000120868,C0038083,A00048728,A00048728,2026-09-02 17:38:17,STORE,COMPLETED,GBP,5670.60,39.93,1126.14,0.00,6756.81,2026-09-02 17:38:17,2026-09-03 12:41:33
SRC_ORDER_B002_000000050,O000120869,C0042121,A00053904,A00053904,2026-09-01 09:52:43,STORE,COMPLETED,GBP,58.68,0.00,11.74,0.00,70.42,2026-09-01 09:52:43,2026-09-02 03:49:19
SRC_ORDER_B002_000000051,O000120870,C0039498,A00050536,A00050537,2026-09-03 23:50:28,ECOMMERCE,COMPLETED,GBP,4837.79,153.17,936.93,0.00,5621.55,2026-09-03 23:50:28,2026-09-04 22:46:31
SRC_ORDER_B002_000000052,O000120871,C0050132,A00064177,A00064177,2026-09-02 18:55:54,ECOMMERCE,COMPLETED,GBP,1894.70,0.00,378.94,0.00,2273.64,2026-09-02 18:55:54,2026-09-03 00:59:09
SRC_ORDER_B002_000000053,O000120872,C0020250,A00025915,A00025915,2026-09-03 20:00:53,MOBILE,COMPLETED,GBP,2736.61,18.11,543.69,0.00,3262.19,2026-09-03 20:00:53,2026-09-04 02:52:30
SRC_ORDER_B002_000000054,O000120873,C0001977,A00002545,A00002545,2026-09-01 23:11:07,STORE,COMPLETED,GBP,657.08,0.00,131.42,0.00,788.50,2026-09-01 23:11:07,2026-09-02 11:50:09
SRC_ORDER_B002_000000055,O000120874,C0041066,A00052558,A00052558,2026-09-02 06:08:10,STORE,PENDING,GBP,377.79,37.78,68.00,0.00,408.01,2026-09-02 06:08:10,2026-09-02 08:16:16
SRC_ORDER_B002_000000056,O000120875,C0022307,A00028551,A00028551,2026-09-02 04:46:58,STORE,COMPLETED,GBP,1333.44,0.00,266.69,0.00,1600.13,2026-09-02 04:46:58,2026-09-03 01:41:54
SRC_ORDER_B002_000000057,O000120876,C0029413,A00037642,A00037642,2026-09-03 00:53:17,STORE,COMPLETED,GBP,373.28,37.33,67.19,0.00,403.14,2026-09-03 00:53:17,2026-09-03 08:10:27
SRC_ORDER_B002_000000058,O000120877,C0048961,A00062682,A00062682,2026-09-01 09:22:28,ECOMMERCE,COMPLETED,GBP,1829.67,147.89,336.36,0.00,2018.14,2026-09-01 09:22:28,2026-09-02 02:51:01
SRC_ORDER_B002_000000059,O000120878,C0001125,A00001438,A00001438,2026-09-01 14:24:44,STORE,COMPLETED,GBP,5200.13,85.79,1022.87,0.00,6137.21,2026-09-01 14:24:44,2026-09-02 13:29:36
SRC_ORDER_B002_000000060,O000120879,C0005823,A00007495,A00007495,2026-09-01 12:38:57,ECOMMERCE,COMPLETED,GBP,967.15,46.60,184.11,0.00,1104.66,2026-09-01 12:38:57,2026-09-01 22:32:19
SRC_ORDER_B002_000000061,O000120880,C0015772,A00020194,A00020194,2026-09-03 05:18:36,STORE,COMPLETED,GBP,1736.07,96.90,327.83,0.00,1967.00,2026-09-03 05:18:36,2026-09-03 14:08:40
SRC_ORDER_B002_000000062,O000120881,C0004404,A00005672,A00005672,2026-09-03 16:42:50,ECOMMERCE,COMPLETED,GBP,7582.77,270.78,1462.40,0.00,8774.39,2026-09-03 16:42:50,2026-09-03 16:59:11
SRC_ORDER_B002_000000063,O000120882,C0041923,A00053652,A00053652,2026-09-02 16:43:28,STORE,CANCELLED,GBP,851.50,0.00,170.30,0.00,1021.80,2026-09-02 16:43:28,2026-09-03 05:43:28
SRC_ORDER_B002_000000064,O000120883,C0005281,A00006792,A00006792,2026-09-03 03:32:45,ECOMMERCE,COMPLETED,GBP,1338.19,17.88,264.06,0.00,1584.37,2026-09-03 03:32:45,2026-09-03 19:11:02
SRC_ORDER_B002_000000065,O000120884,C0010151,A00013028,A00013028,2026-09-03 08:13:58,ECOMMERCE,COMPLETED,GBP,956.86,102.10,170.95,0.00,1025.71,2026-09-03 08:13:58,2026-09-03 12:13:21
