source_record_id,order_item_id,order_id,product_id,quantity,unit_price,discount_amount,tax_amount,line_total_amount,created_at,updated_at
SRC_ORDER_ITEM_B002_000000001,OI0000371831,O000120820,P000454,1,214.68,21.47,38.64,231.85,2026-09-01 20:43:24,2026-09-01 20:43:24
SRC_ORDER_ITEM_B002_000000002,OI0000371832,O000120821,P000303,1,563.05,0.00,112.61,675.66,2026-09-03 01:00:41,2026-09-03 01:00:41
SRC_ORDER_ITEM_B002_000000003,OI0000371833,O000120821,P000163,1,471.19,0.00,94.24,565.43,2026-09-03 01:00:41,2026-09-03 01:00:41
SRC_ORDER_ITEM_B002_000000004,OI0000371834,O000120821,P000454,2,214.68,85.87,68.70,412.19,2026-09-03 01:00:41,2026-09-03 01:00:41
SRC_ORDER_ITEM_B002_000000005,OI0000371835,O000120821,P000372,1,877.54,0.00,175.51,1053.05,2026-09-03 01:00:41,2026-09-03 01:00:41
SRC_ORDER_ITEM_B002_000000006,OI0000371836,O000120822,P000410,1,587.90,0.00,117.58,705.48,2026-09-03 07:35:44,2026-09-03 07:35:44
SRC_ORDER_ITEM_B002_000000007,OI0000371837,O000120822,P000065,1,579.93,0.00,115.99,695.92,2026-09-03 07:35:44,2026-09-03 07:35:44
SRC_ORDER_ITEM_B002_000000008,OI0000371838,O000120822,P000387,1,877.99,0.00,175.60,1053.59,2026-09-03 07:35:44,2026-09-03 07:35:44
SRC_ORDER_ITEM_B002_000000009,OI0000371839,O000120822,P000052,3,864.91,0.00,518.95,3113.68,2026-09-03 07:35:44,2026-09-03 07:35:44
SRC_ORDER_ITEM_B002_000000010,OI0000371840,O000120823,P000070,1,510.72,25.54,97.04,582.22,2026-09-01 20:33:17,2026-09-01 20:33:17
SRC_ORDER_ITEM_B002_000000011,OI0000371841,O000120823,P000255,2,687.00,137.40,247.32,1483.92,2026-09-01 20:33:17,2026-09-01 20:33:17
SRC_ORDER_ITEM_B002_000000012,OI0000371842,O000120824,P000130,1,116.20,0.00,23.24,139.44,2026-09-02 22:31:06,2026-09-02 22:31:06
SRC_ORDER_ITEM_B002_000000013,OI0000371843,O000120825,P000547,2,142.25,0.00,56.90,341.40,2026-09-03 04:12:03,2026-09-03 04:12:03
SRC_ORDER_ITEM_B002_000000014,OI0000371844,O000120825,P000360,1,653.43,0.00,130.69,784.12,2026-09-03 04:12:03,2026-09-03 04:12:03
SRC_ORDER_ITEM_B002_000000015,OI0000371845,O000120825,P000163,1,471.19,0.00,94.24,565.43,2026-09-03 04:12:03,2026-09-03 04:12:03
SRC_ORDER_ITEM_B002_000000016,OI0000371846,O000120826,P000123,2,735.76,0.00,294.30,1765.82,2026-09-01 09:00:33,2026-09-01 09:00:33
SRC_ORDER_ITEM_B002_000000017,OI0000371847,O000120827,P000309,1,17.41,0.00,3.48,20.89,2026-09-01 16:39:02,2026-09-01 16:39:02
SRC_ORDER_ITEM_B002_000000018,OI0000371848,O000120827,P000203,1,731.03,0.00,146.21,877.24,2026-09-01 16:39:02,2026-09-01 16:39:02
SRC_ORDER_ITEM_B002_000000019,OI0000371849,O000120827,P000499,2,615.82,246.33,197.06,1182.37,2026-09-01 16:39:02,2026-09-01 16:39:02
SRC_ORDER_ITEM_B002_000000020,OI0000371850,O000120827,P000174,2,512.71,51.27,194.83,1168.98,2026-09-01 16:39:02,2026-09-01 16:39:02
