source_record_id,payment_id,order_id,customer_id,payment_timestamp,payment_method,payment_status,amount,currency_code,transaction_reference,created_at,updated_at
SRC_PAYMENT_B002_000000001,PAY0000126243,O000120820,C0016633,2026-09-01 21:13:34,CARD,CAPTURED,231.85,GBP,TXN-B002-000000126243,2026-09-01 21:13:34,2026-09-01 21:13:34
SRC_PAYMENT_B002_000000002,PAY0000126244,O000120821,C0040040,2026-09-03 01:12:00,CARD,CAPTURED,2706.33,GBP,TXN-B002-000000126244,2026-09-03 01:12:00,2026-09-03 01:12:00
SRC_PAYMENT_B002_000000003,PAY0000126245,O000120822,C0032023,2026-09-03 07:56:53,GIFT_CARD,CAPTURED,5568.67,GBP,TXN-B002-000000126245,2026-09-03 07:56:53,2026-09-03 07:56:53
SRC_PAYMENT_B002_000000004,PAY0000126246,O000120823,C0010722,2026-09-01 21:04:02,CARD,CAPTURED,2066.14,GBP,TXN-B002-000000126246,2026-09-01 21:04:02,2026-09-01 21:04:02
SRC_PAYMENT_B002_000000005,PAY0000126247,O000120824,C0026549,2026-09-02 23:19:23,CARD,CAPTURED,139.44,GBP,TXN-B002-000000126247,2026-09-02 23:19:23,2026-09-02 23:19:23
SRC_PAYMENT_B002_000000006,PAY0000126248,O000120825,C0045049,2026-09-03 04:45:50,CARD,CAPTURED,1690.95,GBP,TXN-B002-000000126248,2026-09-03 04:45:50,2026-09-03 04:45:50
SRC_PAYMENT_B002_000000007,PAY0000126249,O000120828,C0028392,2026-09-03 10:18:28,CARD,CAPTURED,4942.38,GBP,TXN-B002-000000126249,2026-09-03 10:18:28,2026-09-03 10:18:28
SRC_PAYMENT_B002_000000008,PAY0000126250,O000120829,C0020822,2026-09-02 04:54:56,APPLE_PAY,CAPTURED,6647.47,GBP,TXN-B002-000000126250,2026-09-02 04:54:56,2026-09-02 04:54:56
SRC_PAYMENT_B002_000000009,PAY0000126251,O000120831,C0044953,2026-09-03 12:00:06,CARD,CAPTURED,1701.94,GBP,TXN-B002-000000126251,2026-09-03 12:00:06,2026-09-03 12:00:06
SRC_PAYMENT_B002_000000010,PAY0000126252,O000120832,C0018122,2026-09-03 05:42:53,GIFT_CARD,CAPTURED,3397.01,GBP,TXN-B002-000000126252,2026-09-03 05:42:53,2026-09-03 05:42:53
