source_record_id,product_id,sku,product_name,brand,unit_price,currency_code,is_active,created_at,updated_at
SRC_PRODUCT_B002_000000001,P000085,RV-000085,Smart Lamp 0085,Orbis,337.27,GBP,Y,2024-09-24 08:52:25,2026-09-01 00:00:00
SRC_PRODUCT_B002_000000002,P000258,RV-000258,Classic Bottle 0258,Orbis,23.06,GBP,Y,2026-01-02 10:00:46,2026-09-01 00:00:00
SRC_PRODUCT_B002_000000003,P000459,RV-000459,Classic Blanket 0459,Meridian,737.32,GBP,Y,2026-01-16 22:40:34,2026-09-01 00:00:00
SRC_PRODUCT_B002_000000004,P000040,RV-000040,Essential Headphones 0040,Cinder,991.10,GBP,Y,2026-03-29 11:53:01,2026-09-01 00:00:00
SRC_PRODUCT_B002_000000005,P000470,RV-000470,Smart Headphones 0470,Kestrel,827.72,GBP,Y,2025-06-15 16:38:12,2026-09-01 00:00:00
SRC_PRODUCT_B002_000000006,P000358,RV-000358,Smart Shirt 0358,Velora,19.82,GBP,Y,2024-07-21 15:58:47,2026-09-01 00:00:00
SRC_PRODUCT_B002_000000007,P000236,RV-000236,Classic Jacket 0236,Northstar,372.20,GBP,Y,2023-07-17 03:40:50,2026-09-01 00:00:00
SRC_PRODUCT_B002_000000008,P000337,RV-000337,Premium Watch 0337,Orbis,800.49,GBP,Y,2024-06-21 18:38:24,2026-09-01 00:00:00
SRC_PRODUCT_B002_000000009,P000005,RV-000005,Ultra Kettle 0005,Kestrel,411.07,GBP,Y,2024-04-03 05:01:02,2026-09-01 00:00:00
SRC_PRODUCT_B002_000000010,P000498,RV-000498,Smart Blanket 0498,Northstar,759.67,GBP,Y,2023-05-25 04:24:23,2026-09-01 00:00:00
SRC_PRODUCT_B002_000000011,P000003,RV-000003,Pro Camera 0003,Orbis,414.64,GBP,Y,2024-10-23 07:16:59,2026-09-01 00:00:00
SRC_PRODUCT_B002_000000012,P000207,RV-000207,Everyday Kettle 0207,Axiom,415.65,GBP,Y,2025-01-07 03:47:56,2026-09-01 00:00:00
SRC_PRODUCT_B002_000000013,P000465,RV-000465,Smart Backpack 0465,Cinder,631.20,GBP,Y,2024-05-04 07:32:21,2026-09-01 00:00:00
SRC_PRODUCT_B002_000000014,P000474,RV-000474,Compact Speaker 0474,Velora,476.90,GBP,N,2025-02-06 14:07:52,2026-09-01 00:00:00
SRC_PRODUCT_B002_000000015,P000291,RV-000291,Smart Jacket 0291,Northstar,591.50,GBP,Y,2024-03-21 11:25:10,2026-09-01 00:00:00
SRC_PRODUCT_B002_000000016,P000395,RV-000395,Pro Backpack 0395,Cinder,121.23,GBP,Y,2024-10-15 20:32:03,2026-09-01 00:00:00
SRC_PRODUCT_B002_000000017,P000151,RV-000151,Premium Lamp 0151,Lumina,13.52,GBP,Y,2025-11-14 11:36:04,2026-09-01 00:00:00
SRC_PRODUCT_B002_000000018,P000228,RV-000228,Eco Keyboard 0228,Velora,735.82,GBP,Y,2026-05-27 17:27:03,2026-09-01 00:00:00
SRC_PRODUCT_B002_000000019,P000037,RV-000037,Compact Jacket 0037,Velora,859.42,GBP,Y,2026-02-19 03:56:06,2026-09-01 00:00:00
SRC_PRODUCT_B002_000000020,P000350,RV-000350,Premium Shirt 0350,Velora,679.44,GBP,Y,2023-05-16 23:03:51,2026-09-01 00:00:00
SRC_PRODUCT_B002_000000021,P000211,RV-000211,Smart Watch 0211,Cinder,126.84,GBP,Y,2025-12-26 04:16:16,2026-09-01 00:00:00
SRC_PRODUCT_B002_000000022,P000494,RV-000494,Pro Keyboard 0494,Orbis,906.09,GBP,Y,2025-01-28 04:13:18,2026-09-01 00:00:00
SRC_PRODUCT_B002_000000023,P000164,RV-000164,Eco Serum 0164,Northstar,886.64,GBP,Y,2023-03-22 07:34:20,2026-09-01 00:00:00
SRC_PRODUCT_B002_000000024,P000163,RV-000163,Pro Shirt 0163,Cinder,471.19,GBP,Y,2024-04-28 12:55:10,2026-09-01 00:00:00
SRC_PRODUCT_B002_000000025,P000278,RV-000278,Essential Camera 0278,Meridian,108.93,GBP,Y,2025-06-09 14:42:55,2026-09-01 00:00:00
SRC_PRODUCT_B002_000000026,P000300,RV-000300,Compact Watch 0300,Orbis,868.03,GBP,Y,2025-02-01 17:47:51,2026-09-01 00:00:00
SRC_PRODUCT_B002_000000027,P000032,RV-000032,Essential Trainer 0032,Axiom,713.05,GBP,Y,2025-03-08 05:45:26,2026-09-01 00:00:00
SRC_PRODUCT_B002_000000028,P000118,RV-000118,Modern Jacket 0118,Kestrel,159.46,GBP,Y,2023-12-02 03:57:40,2026-09-01 00:00:00
SRC_PRODUCT_B002_000000029,P000101,RV-000101,Eco Blanket 0101,Axiom,980.10,GBP,Y,2026-01-11 09:56:31,2026-09-01 00:00:00
SRC_PRODUCT_B002_000000030,P000096,RV-000096,Ultra Bottle 0096,Velora,142.27,GBP,Y,2025-11-17 08:15:49,2026-09-01 00:00:00
SRC_PRODUCT_B002_000000031,P000284,RV-000284,Classic Trainer 0284,Kestrel,709.40,GBP,Y,2024-04-25 02:02:16,2026-09-01 00:00:00
SRC_PRODUCT_B002_000000032,P000389,RV-000389,Essential Camera 0389,Meridian,98.26,GBP,Y,2026-07-27 02:04:06,2026-09-01 00:00:00
SRC_PRODUCT_B002_000000033,P000167,RV-000167,Essential Serum 0167,Kestrel,360.98,GBP,Y,2025-10-22 08:42:30,2026-09-01 00:00:00
SRC_PRODUCT_B002_000000034,P000083,RV-000083,Modern Backpack 0083,Cinder,341.36,GBP,Y,2025-03-31 07:09:47,2026-09-01 00:00:00
SRC_PRODUCT_B002_000000035,P000158,RV-000158,Eco Kettle 0158,Northstar,279.51,GBP,Y,2024-05-15 19:29:56,2026-09-01 00:00:00
SRC_PRODUCT_B002_000000036,P000256,RV-000256,Compact Bottle 0256,Velora,828.00,GBP,Y,2023-10-08 07:18:27,2026-09-01 00:00:00
SRC_PRODUCT_B002_000000037,P000365,RV-000365,Compact Jacket 0365,Axiom,713.42,GBP,Y,2025-12-11 22:37:18,2026-09-01 00:00:00
SRC_PRODUCT_B002_000000038,P000169,RV-000169,Premium Serum 0169,Orbis,900.99,GBP,Y,2024-04-30 08:46:21,2026-09-01 00:00:00
SRC_PRODUCT_B002_000000039,P000408,RV-000408,Compact Jacket 0408,Lumina,47.31,GBP,Y,2024-09-03 00:31:11,2026-09-01 00:00:00
SRC_PRODUCT_B002_000000040,P000034,RV-000034,Classic Mixer 0034,Axiom,910.90,GBP,Y,2024-05-19 07:24:44,2026-09-01 00:00:00
SRC_PRODUCT_B002_000000041,P000157,RV-000157,Pro Mixer 0157,Velora,141.51,GBP,Y,2025-02-03 10:55:22,2026-09-01 00:00:00
SRC_PRODUCT_B002_000000042,P000299,RV-000299,Classic Headphones 0299,Velora,327.78,GBP,Y,2024-07-01 07:07:23,2026-09-01 00:00:00
SRC_PRODUCT_B002_000000043,P000104,RV-000104,Eco Headphones 0104,Northstar,294.27,GBP,True,2023-01-06 10:53:44,2026-09-01 00:00:00
SRC_PRODUCT_B002_000000044,P000183,RV-000183,Premium Speaker 0183,Kestrel,954.69,GBP,Y,2025-02-03 20:56:44,2026-09-01 00:00:00
SRC_PRODUCT_B002_000000045,P000324,RV-000324,Classic Bottle 0324,Northstar,491.26,GBP,Y,2026-02-07 20:27:41,2026-09-01 00:00:00
SRC_PRODUCT_B002_000000046,P000070,RV-000070,Ultra Serum 0070,Lumina,510.72,GBP,Y,2025-05-25 20:19:30,2026-09-01 00:00:00
SRC_PRODUCT_B002_000000047,P000171,RV-000171,Essential Mixer 0171,Velora,257.22,GBP,Y,2023-02-27 09:07:20,2026-09-01 00:00:00
SRC_PRODUCT_B002_000000048,P000311,RV-000311,Ultra Kettle 0311,Northstar,495.97,GBP,Y,2026-04-08 16:25:34,2026-09-01 00:00:00
SRC_PRODUCT_B002_000000049,P000057,RV-000057,Compact Lamp 0057,Kestrel,146.38,GBP,Y,2025-06-01 07:45:56,2026-09-01 00:00:00
