source_record_id,product_category_id,product_id,category_id,is_primary,active_from,active_to,created_at,updated_at
SRC_PRODUCT_CATEGORY_B002_000000001,PC00000196,P000131,CAT0023,N,2025-04-08,2026-09-01,2025-04-08 06:04:04,2026-09-01 00:00:00
SRC_PRODUCT_CATEGORY_B002_000000002,PC00000593,P000393,CAT0018,N,2024-07-23,2026-09-01,2024-07-23 16:40:45,2026-09-01 00:00:00
SRC_PRODUCT_CATEGORY_B002_000000003,PC00000550,P000362,CAT0025,Y,2023-02-28,2026-09-01,2023-02-28 17:49:35,2026-09-01 00:00:00
SRC_PRODUCT_CATEGORY_B002_000000004,PC00000583,P000387,CAT0017,Y,2024-01-06,2026-09-01,2024-01-06 14:09:12,2026-09-01 00:00:00
SRC_PRODUCT_CATEGORY_B002_000000005,PC00000366,P000237,CAT0028,Y,2026-06-16,2026-09-01,2026-06-16 16:06:06,2026-09-01 00:00:00
SRC_PRODUCT_CATEGORY_B002_000000006,PC00000104,P000068,CAT0010,N,2026-04-16,2026-09-01,2026-04-16 11:39:03,2026-09-01 00:00:00
SRC_PRODUCT_CATEGORY_B002_000000007,PC00000441,P000288,CAT0018,N,2023-07-25,2026-09-01,2023-07-25 14:14:32,2026-09-01 00:00:00
SRC_PRODUCT_CATEGORY_B002_000000008,PC00000642,P000425,CAT0027,Y,2025-04-26,2026-09-01,2025-04-26 14:21:52,2026-09-01 00:00:00
SRC_PRODUCT_CATEGORY_B002_000000009,PC00000679,P000453,CAT0010,Y,2023-04-29,2026-09-01,2023-04-29 21:33:39,2026-09-01 00:00:00
SRC_PRODUCT_CATEGORY_B002_000000010,PC00000563,P000372,CAT0021,Y,2026-02-28,2026-09-01,2026-02-28 10:14:50,2026-09-01 00:00:00
SRC_PRODUCT_CATEGORY_B002_000000011,PC00000375,P000244,CAT0018,Y,2023-04-08,2026-09-01,2023-04-08 22:12:59,2026-09-01 00:00:00
SRC_PRODUCT_CATEGORY_B002_000000012,PC00000234,P000156,CAT0015,Y,2025-04-28,2026-09-01,2025-04-28 09:08:55,2026-09-01 00:00:00
SRC_PRODUCT_CATEGORY_B002_000000013,PC00000099,P000065,CAT0008,Y,2025-01-29,2026-09-01,2025-01-29 02:01:27,2026-09-01 00:00:00
SRC_PRODUCT_CATEGORY_B002_000000014,PC00000200,P000135,CAT0019,Y,2023-06-02,2026-09-01,2023-06-02 15:17:42,2026-09-01 00:00:00
SRC_PRODUCT_CATEGORY_B002_000000015,PC00000325,P000212,CAT0012,Y,2026-04-08,2026-09-01,2026-04-08 22:01:06,2026-09-01 00:00:00
SRC_PRODUCT_CATEGORY_B002_000000016,PC00000523,P000345,CAT0017,N,2024-04-07,2026-09-01,2024-04-07 08:01:04,2026-09-01 00:00:00
SRC_PRODUCT_CATEGORY_B002_000000017,PC00000159,P000106,CAT0029,N,2025-05-01,2026-09-01,2025-05-01 18:47:28,2026-09-01 00:00:00
SRC_PRODUCT_CATEGORY_B002_000000018,PC00000630,P000417,CAT0026,Y,2026-07-21,2026-09-01,2026-07-21 12:40:46,2026-09-01 00:00:00
SRC_PRODUCT_CATEGORY_B002_000000019,PC00000109,P000071,CAT0014,N,2023-03-08,2026-09-01,2023-03-08 18:21:03,2026-09-01 00:00:00
SRC_PRODUCT_CATEGORY_B002_000000020,PC00000470,P000311,CAT0017,Y,2026-04-08,2026-09-01,2026-04-08 16:25:34,2026-09-01 00:00:00
SRC_PRODUCT_CATEGORY_B002_000000021,PC00000655,P000434,CAT0011,Y,2025-07-06,2026-09-01,2025-07-06 18:32:43,2026-09-01 00:00:00
SRC_PRODUCT_CATEGORY_B002_000000022,PC00000478,P000316,CAT0022,N,2025-12-15,2026-09-01,2025-12-15 21:31:29,2026-09-01 00:00:00
SRC_PRODUCT_CATEGORY_B002_000000023,PC00000748,P000496,CAT0012,Y,2023-12-12,2026-09-01,2023-12-12 16:50:39,2026-09-01 00:00:00
SRC_PRODUCT_CATEGORY_B002_000000024,PC00000745,P000495,CAT0017,Y,2024-02-05,2026-09-01,2024-02-05 16:23:36,2026-09-01 00:00:00
SRC_PRODUCT_CATEGORY_B002_000000025,PC00000377,P000245,CAT0008,N,2026-05-22,2026-09-01,2026-05-22 17:29:18,2026-09-01 00:00:00
SRC_PRODUCT_CATEGORY_B002_000000026,PC00000165,P000112,CAT0029,Y,2026-01-19,2026-09-01,2026-01-19 18:08:53,2026-09-01 00:00:00
SRC_PRODUCT_CATEGORY_B002_000000027,PC00000048,P000030,CAT0024,Y,2023-12-04,2026-09-01,2023-12-04 06:10:36,2026-09-01 00:00:00
SRC_PRODUCT_CATEGORY_B002_000000028,PC00000064,P000041,CAT0019,Y,2023-02-10,2026-09-01,2023-02-10 15:48:13,2026-09-01 00:00:00
SRC_PRODUCT_CATEGORY_B002_000000029,PC00000463,P000305,CAT0023,Y,2023-09-26,2026-09-01,2023-09-26 15:45:55,2026-09-01 00:00:00
SRC_PRODUCT_CATEGORY_B002_000000030,PC00000317,P000207,CAT0014,Y,2025-01-07,2026-09-01,2025-01-07 03:47:56,2026-09-01 00:00:00
SRC_PRODUCT_CATEGORY_B002_000000031,PC00000305,P000200,CAT0014,N,2026-05-08,2026-09-01,2026-05-08 21:42:36,2026-09-01 00:00:00
SRC_PRODUCT_CATEGORY_B002_000000032,PC00000310,P000203,CAT0023,Y,2024-08-28,2026-09-01,2024-08-28 22:17:31,2026-09-01 00:00:00
SRC_PRODUCT_CATEGORY_B002_000000033,PC00000260,P000174,CAT0025,Y,2024-03-15,2026-09-01,2024-03-15 13:53:45,2026-09-01 00:00:00
SRC_PRODUCT_CATEGORY_B002_000000034,PC00000017,P000010,CAT0020,N,2026-04-10,2026-09-01,2026-04-10 18:22:04,2026-09-01 00:00:00
SRC_PRODUCT_CATEGORY_B002_000000035,PC00000241,P000160,CAT0024,Y,2023-08-04,2026-09-01,2023-08-04 04:52:32,2026-09-01 00:00:00
SRC_PRODUCT_CATEGORY_B002_000000036,PC00000668,P000444,CAT0021,Y,2025-02-04,2026-09-01,2025-02-04 10:21:09,2026-09-01 00:00:00
SRC_PRODUCT_CATEGORY_B002_000000037,PC00000654,P000433,CAT0009,Y,2026-07-02,2026-09-01,2026-07-02 04:56:47,2026-09-01 00:00:00
SRC_PRODUCT_CATEGORY_B002_000000038,PC00000236,P000157,CAT0007,Y,2025-02-03,2026-09-01,2025-02-03 10:55:22,2026-09-01 00:00:00
SRC_PRODUCT_CATEGORY_B002_000000039,PC00000050,P000031,CAT0016,Y,2023-12-08,2026-09-01,2023-12-08 21:05:31,2026-09-01 00:00:00
SRC_PRODUCT_CATEGORY_B002_000000040,PC00000293,P000193,CAT0028,Y,2023-03-24,2026-09-01,2023-03-24 13:46:36,2026-09-01 00:00:00
SRC_PRODUCT_CATEGORY_B002_000000041,PC00000759,P000501,CAT0010,Y,2026-09-02,,2026-09-02 10:40:09,2026-09-02 10:40:09
