source_record_id,return_id,order_id,customer_id,return_timestamp,return_status,return_reason,total_refund_amount,created_at,updated_at
SRC_RETURN_B002_000000001,R000021300,O000012917,C0015942,2025-04-18 07:07:32,COMPLETED,WRONG_ITEM,1772.30,2025-04-18 07:07:32,2025-04-18 07:07:32
SRC_RETURN_B002_000000002,R000021301,O000038472,C0043444,2025-01-31 20:21:39,COMPLETED,LATE_DELIVERY,594.40,2025-01-31 20:21:39,2025-01-31 20:21:39
SRC_RETURN_B002_000000003,R000021302,O000010394,C0007528,2026-02-25 18:39:42,COMPLETED,UNWANTED,817.68,2026-02-25 18:39:42,2026-02-25 18:39:42
SRC_RETURN_B002_000000004,R000021303,O000032814,C0019217,2026-05-15 03:05:15,COMPLETED,WRONG_ITEM,876.33,2026-05-15 03:05:15,2026-05-15 03:05:15
SRC_RETURN_B002_000000005,R000021304,O000103129,C0043338,2025-09-14 09:36:52,COMPLETED,LATE_DELIVERY,3131.73,2025-09-14 09:36:52,2025-09-14 09:36:52
SRC_RETURN_B002_000000006,R000021305,O000100864,C0029981,2024-02-25 03:21:04,COMPLETED,SIZE_FIT,3400.21,2024-02-25 03:21:04,2024-02-25 03:21:04
SRC_RETURN_B002_000000007,R000021306,O000015502,C0040132,2026-05-04 02:20:19,COMPLETED,DAMAGED,2137.28,2026-05-04 02:20:19,2026-05-04 02:20:19
SRC_RETURN_B002_000000008,R000021307,O000109722,C0019013,2025-12-12 17:51:51,COMPLETED,SIZE_FIT,1329.42,2025-12-12 17:51:51,2025-12-12 17:51:51
SRC_RETURN_B002_000000009,R000021308,O000062813,C0003004,2025-04-29 15:56:57,COMPLETED,LATE_DELIVERY,1757.87,2025-04-29 15:56:57,2025-04-29 15:56:57
SRC_RETURN_B002_000000010,R000021309,O000025816,C0033295,2026-07-29 06:45:00,COMPLETED,SIZE_FIT,1167.95,2026-07-29 06:45:00,2026-07-29 06:45:00
SRC_RETURN_B002_000000011,R000021310,O000032421,C0039083,2026-03-18 10:48:19,COMPLETED,LATE_DELIVERY,3220.02,2026-03-18 10:48:19,2026-03-18 10:48:19
SRC_RETURN_B002_000000012,R000021311,O000020439,C0015936,2024-07-28 22:11:36,COMPLETED,LATE_DELIVERY,806.46,2024-07-28 22:11:36,2024-07-28 22:11:36
SRC_RETURN_B002_000000013,R000021312,O000063327,C0045672,2026-08-07 15:42:25,COMPLETED,DEFECTIVE,1436.72,2026-08-07 15:42:25,2026-08-07 15:42:25
SRC_RETURN_B002_000000014,R000021313,O000030270,C0047106,2026-07-23 09:52:30,COMPLETED,DEFECTIVE,675.66,2026-07-23 09:52:30,2026-07-23 09:52:30
SRC_RETURN_B002_000000015,R000021314,O000027608,C0041546,2026-02-03 00:13:48,COMPLETED,DEFECTIVE,882.54,2026-02-03 00:13:48,2026-02-03 00:13:48
SRC_RETURN_B002_000000016,R000021315,O000008088,C0044843,2026-08-29 08:04:22,COMPLETED,DAMAGED,3314.69,2026-08-29 08:04:22,2026-08-29 08:04:22
SRC_RETURN_B002_000000017,R000021316,O000033227,C0036878,2026-02-16 03:58:44,COMPLETED,UNWANTED,738.14,2026-02-16 03:58:44,2026-02-16 03:58:44
SRC_RETURN_B002_000000018,R000021317,O000055892,C0040054,2025-05-11 06:33:06,COMPLETED,UNWANTED,2145.81,2025-05-11 06:33:06,2025-05-11 06:33:06
SRC_RETURN_B002_000000019,R000021318,O000059198,C0016292,2024-02-28 19:07:40,COMPLETED,UNWANTED,933.43,2024-02-28 19:07:40,2024-02-28 19:07:40
SRC_RETURN_B002_000000020,R000021319,O000037835,C0034077,2026-01-08 13:32:10,COMPLETED,UNWANTED,1012.95,2026-01-08 13:32:10,2026-01-08 13:32:10
SRC_RETURN_B002_000000021,R000021320,O000070838,C0006130,2024-12-16 15:16:44,COMPLETED,UNWANTED,475.97,2024-12-16 15:16:44,2024-12-16 15:16:44
SRC_RETURN_B002_000000022,R000021321,O000050728,C0031976,2026-05-29 18:16:51,COMPLETED,SIZE_FIT,445.50,2026-05-29 18:16:51,2026-05-29 18:16:51
SRC_RETURN_B002_000000023,R000021322,O000072432,C0007488,2025-05-06 23:59:54,COMPLETED,LATE_DELIVERY,2196.93,2025-05-06 23:59:54,2025-05-06 23:59:54
SRC_RETURN_B002_000000024,R000021323,O000071784,C0038061,2025-12-10 17:50:03,COMPLETED,DAMAGED,10.19,2025-12-10 17:50:03,2025-12-10 17:50:03
SRC_RETURN_B002_000000025,R000021324,O000029480,C0006552,2026-02-10 09:16:20,COMPLETED,SIZE_FIT,796.13,2026-02-10 09:16:20,2026-02-10 09:16:20
SRC_RETURN_B002_000000026,R000021325,O000027650,C0043173,2024-10-22 03:09:15,COMPLETED,DAMAGED,9.17,2024-10-22 03:09:15,2024-10-22 03:09:15
SRC_RETURN_B002_000000027,R000021326,O000089052,C0046786,2026-02-07 16:23:16,COMPLETED,WRONG_ITEM,2351.66,2026-02-07 16:23:16,2026-02-07 16:23:16
SRC_RETURN_B002_000000028,R000021327,O000031461,C0027246,2026-08-20 07:00:44,COMPLETED,SIZE_FIT,1057.06,2026-08-20 07:00:44,2026-08-20 07:00:44
SRC_RETURN_B002_000000029,R000021328,O000104271,C0031278,2024-07-18 07:19:25,COMPLETED,DEFECTIVE,522.63,2024-07-18 07:19:25,2024-07-18 07:19:25
SRC_RETURN_B002_000000030,R000021329,O000103410,C0039860,2026-03-09 23:24:33,COMPLETED,DAMAGED,482.65,2026-03-09 23:24:33,2026-03-09 23:24:33
SRC_RETURN_B002_000000031,R000021330,O000079027,C0029997,2026-06-14 13:39:46,COMPLETED,SIZE_FIT,488.06,2026-06-14 13:39:46,2026-06-14 13:39:46
SRC_RETURN_B002_000000032,R000021331,O000049098,C0043580,2025-01-09 09:59:06,COMPLETED,DEFECTIVE,939.05,2025-01-09 09:59:06,2025-01-09 09:59:06
SRC_RETURN_B002_000000033,R000021332,O000020944,C0004781,2024-04-22 18:03:02,COMPLETED,DEFECTIVE,153.13,2024-04-22 18:03:02,2024-04-22 18:03:02
SRC_RETURN_B002_000000034,R000021333,O000056512,C0026189,2025-09-06 01:30:40,COMPLETED,DEFECTIVE,88.61,2025-09-06 01:30:40,2025-09-06 01:30:40
SRC_RETURN_B002_000000035,R000021334,O000009841,C0049130,2026-03-03 22:52:13,COMPLETED,DAMAGED,335.96,2026-03-03 22:52:13,2026-03-03 22:52:13
SRC_RETURN_B002_000000036,R000021335,O000001138,C0020644,2024-01-29 06:37:32,COMPLETED,SIZE_FIT,2002.10,2024-01-29 06:37:32,2024-01-29 06:37:32
SRC_RETURN_B002_000000037,R000021336,O000088599,C0045920,2024-02-16 12:38:46,COMPLETED,WRONG_ITEM,634.27,2024-02-16 12:38:46,2024-02-16 12:38:46
SRC_RETURN_B002_000000038,R000021337,O000046169,C0028938,2024-09-16 22:29:12,COMPLETED,SIZE_FIT,1106.41,2024-09-16 22:29:12,2024-09-16 22:29:12
