batch_id,entity,row_count,distinct_business_keys,null_business_keys,duplicate_business_keys,rows_with_duplicate_business_key,duplicate_rows_beyond_first
B001,customer,50108,50100,3,5,10,5
B001,address,64138,64138,0,0,0,0
B001,product,502,502,0,0,0,0
B001,category,32,32,0,0,0,0
B001,product_category,760,760,0,0,0,0
B001,order,120821,120820,1,0,0,0
B001,order_item,371835,371835,0,0,0,0
B001,payment,126246,126246,0,0,0,0
B001,return,21300,21300,0,0,0,0
B001,return_item,36461,36461,0,0,0,0
B002,customer,1703,1700,1,2,4,2
B002,address,1824,1824,0,0,0,0
B002,product,152,152,0,0,0,0
B002,category,12,12,0,0,0,0
B002,product_category,113,113,0,0,0,0
B002,order,10002,10001,1,0,0,0
B002,order_item,30876,30876,0,0,0,0
B002,payment,10390,10390,0,0,0,0
B002,return,1501,1501,0,0,0,0
B002,return_item,2590,2590,0,0,0,0
