batch_id,entity,rows,columns,bytes,sha256_verified,source_record_id_unique
B001,customer,50108,11,8227618,True,True
B001,address,64138,13,9293450,True,True
B001,product,502,10,62710,True,True
B001,category,32,8,3484,True,True
B001,product_category,760,9,89056,True,True
B001,order,120821,16,21753926,True,True
B001,order_item,371835,11,48379725,True,True
B001,payment,126246,12,21548168,True,True
B001,return,21300,10,3081290,True,True
B001,return_item,36461,10,4933376,True,True
B002,customer,1703,11,280099,True,True
B002,address,1824,13,264852,True,True
B002,product,152,10,19112,True,True
B002,category,12,8,1481,True,True
B002,product_category,113,9,13777,True,True
B002,order,10002,16,1801061,True,True
B002,order_item,30876,11,4018234,True,True
B002,payment,10390,12,1773813,True,True
B002,return,1501,10,217218,True,True
B002,return_item,2590,10,350451,True,True
